uid,iid,rui
b'01a26043d6e6ed360fbe34830ed46ebd9d40cd50b4bc5661172143a31ba3bacb',b'053978a71409d087b34ab8cd786ae3d59d931dba6d10dc0aef171a7f827931c9',0.7
b'01a26043d6e6ed360fbe34830ed46ebd9d40cd50b4bc5661172143a31ba3bacb',b'17cd52f27d74444ba4804d020446eb3895b5ab2f67c754395f706bddc97cb859',0.7
b'01a26043d6e6ed360fbe34830ed46ebd9d40cd50b4bc5661172143a31ba3bacb',b'25e3ee58635e408287555b87cd6782c08da450e34215b45e978fd6590b718c1c',0.7
b'01a26043d6e6ed360fbe34830ed46ebd9d40cd50b4bc5661172143a31ba3bacb',b'34693b2c53fac741717c7eeb8b95aa21143bd3aac6cc7fa437df3eac21f3f1d4',0.7
b'01a26043d6e6ed360fbe34830ed46ebd9d40cd50b4bc5661172143a31ba3bacb',b'37a5821f758f4f076f73381cdc210eb7302f75670dd3fe77a96894b0280f307e',0.3
b'01a26043d6e6ed360fbe34830ed46ebd9d40cd50b4bc5661172143a31ba3bacb',b'3b892cc2bebfbbe42bcdfacb3cf2c3e1365bf6b551bb6c9a40ffc39d680afe86',0.3
b'01a26043d6e6ed360fbe34830ed46ebd9d40cd50b4bc5661172143a31ba3bacb',b'3ff265e0d5d20da8a3414e2f49b941ba84c01ca5962f3adf3e4e49f792781d06',0.3
b'01a26043d6e6ed360fbe34830ed46ebd9d40cd50b4bc5661172143a31ba3bacb',b'529ea336c479c49f83c8e3bab0b34c6ef22e8ec35013faa1435283e0c728223c',0.3
b'01a26043d6e6ed360fbe34830ed46ebd9d40cd50b4bc5661172143a31ba3bacb',b'69016ea860663b95f9d0cc58817363303004a32fc9957f9d79e7893e4084881d',0.7
b'01a26043d6e6ed360fbe34830ed46ebd9d40cd50b4bc5661172143a31ba3bacb',b'765097265d68a08e41d7bc0b112b874974d73d622c09f3081aa013cb96bfa5f3',0.7
